                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    148,                0.23296,                0.20314,                0.79335,                 0.9991,                      1,                  0.995,                  0.995,                0.12002,                0.12507,                0.79216,              0.0085447,              0.0085447,              0.0085447
                    149,                0.23535,                0.20854,                0.81382,                0.99911,                      1,                  0.995,                  0.995,                0.13086,                0.13508,                0.79366,              0.0085348,              0.0085348,              0.0085348
                    150,                0.25563,                0.21989,                0.79717,                0.99912,                      1,                  0.995,                  0.995,                0.12181,                0.13677,                0.79305,              0.0085249,              0.0085249,              0.0085249
                    151,                0.25043,                0.22042,                0.79527,                0.99914,                      1,                  0.995,                  0.995,                0.12337,                0.13656,                0.79285,               0.008515,               0.008515,               0.008515
                    152,                0.24053,                0.20908,                0.78074,                0.99913,                      1,                  0.995,                  0.995,                0.12544,                0.13745,                 0.7929,              0.0085051,              0.0085051,              0.0085051
                    153,                 0.2462,                0.21791,                0.80668,                0.99911,                      1,                  0.995,                  0.995,                 0.1314,                0.13551,                0.79344,              0.0084952,              0.0084952,              0.0084952
                    154,                0.24301,                 0.2188,                0.81696,                0.99912,                      1,                  0.995,                  0.995,                0.11367,                0.13195,                0.79229,              0.0084853,              0.0084853,              0.0084853
                    155,                0.24696,                0.21762,                0.79203,                0.99911,                      1,                  0.995,                  0.995,                0.12471,                0.14533,                0.79415,              0.0084754,              0.0084754,              0.0084754
                    156,                0.24645,                0.21449,                0.77999,                0.99913,                      1,                  0.995,                  0.995,                0.12332,                0.13245,                0.79422,              0.0084655,              0.0084655,              0.0084655
                    157,                0.24808,                 0.2194,                0.78899,                0.99912,                      1,                  0.995,                  0.995,                  0.109,                0.13772,                0.79338,              0.0084556,              0.0084556,              0.0084556
                    158,                 0.2307,                0.20693,                0.79002,                0.99912,                      1,                  0.995,                  0.995,                0.11979,                0.14019,                0.79212,              0.0084457,              0.0084457,              0.0084457
