epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
158,3973.61,0.20131,0.14912,0.76894,0.99648,1,0.9948,0.93812,0.38345,0.17251,0.80987,0.00941,0.00941,0.00941
159,3998.65,0.20011,0.14621,0.7649,0.99262,1,0.99457,0.94005,0.37833,0.17198,0.81119,0.00940262,0.00940262,0.00940262
160,4023.57,0.19575,0.14384,0.76716,0.99596,1,0.9944,0.94242,0.3753,0.16605,0.80935,0.00939519,0.00939519,0.00939519
161,4048.83,0.20022,0.14534,0.76926,0.99847,1,0.995,0.93925,0.38328,0.17276,0.81103,0.00938772,0.00938772,0.00938772
162,4074.28,0.19316,0.14719,0.76371,0.9933,1,0.99493,0.93868,0.38214,0.17775,0.81127,0.0093802,0.0093802,0.0093802
163,4099.6,0.19801,0.14668,0.76551,0.99287,1,0.99457,0.93873,0.38321,0.17123,0.81082,0.00937265,0.00937265,0.00937265
164,4124.73,0.19584,0.14654,0.75988,0.99234,1,0.99407,0.93858,0.38394,0.17195,0.81135,0.00936505,0.00936505,0.00936505
165,4149.79,0.19345,0.14458,0.76423,0.99275,1,0.995,0.94126,0.38424,0.17413,0.81255,0.00935741,0.00935741,0.00935741
166,4174.68,0.1891,0.14355,0.76254,0.99317,1,0.995,0.93899,0.37919,0.16813,0.80986,0.00934973,0.00934973,0.00934973
167,4199.55,0.19531,0.14029,0.76469,0.99267,1,0.995,0.94061,0.37445,0.17239,0.80967,0.009342,0.009342,0.009342
168,4224.43,0.19129,0.14144,0.7609,0.99005,1,0.9949,0.94112,0.37558,0.17003,0.80842,0.00933423,0.00933423,0.00933423
169,4249.3,0.18889,0.1401,0.76601,0.99291,1,0.99497,0.94101,0.3779,0.1705,0.80855,0.00932642,0.00932642,0.00932642
170,4274.31,0.19345,0.14265,0.76436,0.99431,1,0.995,0.94168,0.37209,0.16959,0.8076,0.00931857,0.00931857,0.00931857
171,4299.49,0.18668,0.13848,0.76529,0.99619,1,0.995,0.94487,0.36658,0.17,0.80761,0.00931067,0.00931067,0.00931067
172,4324.98,0.19173,0.14183,0.76395,0.99004,1,0.99487,0.94015,0.37083,0.16983,0.81063,0.00930274,0.00930274,0.00930274
173,4350.18,0.18775,0.13886,0.7601,0.99308,1,0.9948,0.93981,0.37477,0.16848,0.81263,0.00929476,0.00929476,0.00929476
174,4375.28,0.18679,0.14532,0.76774,0.98933,1,0.9948,0.94252,0.37041,0.17083,0.80906,0.00928674,0.00928674,0.00928674
175,4400.16,0.18495,0.14101,0.76586,0.9932,1,0.99477,0.9443,0.36396,0.16793,0.80678,0.00927867,0.00927867,0.00927867
176,4425,0.18137,0.13818,0.7618,0.98988,1,0.99493,0.94028,0.37626,0.16828,0.81009,0.00927057,0.00927057,0.00927057
177,4449.89,0.18897,0.14,0.76701,0.99302,1,0.9944,0.94201,0.37701,0.16664,0.80832,0.00926242,0.00926242,0.00926242
178,4474.7,0.19104,0.14207,0.7667,0.99336,0.99728,0.99487,0.94523,0.3755,0.16684,0.80676,0.00925423,0.00925423,0.00925423
179,4499.64,0.18478,0.1398,0.76525,0.99408,1,0.99487,0.94671,0.36831,0.16756,0.80546,0.00924601,0.00924601,0.00924601
180,4524.65,0.19146,0.14405,0.76642,0.99337,0.99938,0.9949,0.94577,0.36932,0.16914,0.80704,0.00923774,0.00923774,0.00923774
181,4549.97,0.18164,0.13988,0.75882,0.99436,0.99667,0.99457,0.9456,0.36882,0.1709,0.80815,0.00922942,0.00922942,0.00922942
182,4575.3,0.18974,0.14523,0.76586,0.99332,0.99667,0.99463,0.94445,0.36671,0.16911,0.80746,0.00922107,0.00922107,0.00922107
183,4600.35,0.18379,0.14183,0.76516,0.9901,0.99986,0.99463,0.94237,0.36666,0.1689,0.80742,0.00921268,0.00921268,0.00921268
184,4625.35,0.18778,0.14169,0.7605,0.99351,0.99667,0.99463,0.94076,0.36477,0.17016,0.80775,0.00920424,0.00920424,0.00920424
185,4650.3,0.18756,0.13883,0.76471,0.98952,1,0.9945,0.94442,0.36479,0.16908,0.80748,0.00919576,0.00919576,0.00919576
186,4675.3,0.17936,0.13593,0.764,0.99003,1,0.99473,0.94343,0.36946,0.16967,0.80928,0.00918725,0.00918725,0.00918725
